departamento,Seccion,Familia,SubFamilia,marca,linea,Referencia,CodBarras,descripcion Completa,descripcion 40 caracteres,Usa Lote,Principio Activo,cod_prov,Proveedor
MEDICAMENTOS,TABLETAS,,,MCK,,7591519317664,,BIOCOR HCT 20MG-12.5MG X 10TAB MCK,"BIOCOR HCT 20MG-12,5MG X10TAB(MCK)",T,OLMESARTAN-HIDROCLOROTIAZIDA,20000012,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,MCK,,7591519316247,,BIOCOR AMLO 20MG-5MG X 30TAB MCK,BIOCOR AMLO 20MG/5MG X 30 TAB (MCK),T,OLMESARTAN MEDOXIMIL + AMLODIPINA,49914014,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,MCK,,7591519316230,,BIOCOR AMLO 40MG-5MG X 30TAB MCK,BIOCOR AMLO 40MG/5MG X30 TAB (MCK),T,OLMESARTAN MEDOXIMIL + AMLODIPINA,20000041,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,MCK,,7591519317688,,BIOCOR AMLO 40MG-5MG X 10TAB MCK,BIOCOR AMLO 40MG-5MG X 10TAB MCK,T,OLMESARTAN MEDOXIMIL + AMLODIPINA,20000026,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,CALOX,,7591519001525,,IBUPROFENO 400MG X 20TAB CALOX,IBUPROFENO 400MG X 20TAB CALOX,T,IBUPROFENO,20000020,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,CALOX,,7591519005905,,LEVOFLOXACINO 500MG X 5TAB CALOX,LEVOFLOXACINO 500 MG X 5 TAB (CALOX),T,LEVOFLOXACINO,20000027,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,CALOX,,7591519008210,,DESLORATADINA 5MG X 10TAB CALOX,DESLORATADINA 5MG X 10 TAB (CALOX),T,DESLORATADINA+MONTELUKAST,20000032,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,CALOX,,7591519050820,,FINASTERIDE 5MG X 30TAB CALOX,FINASTERIDE 5MG X 30 TAB (CALOX),T,FINASTERIDE,20000063,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,CALOX,,7591519001501,,DICLOFENAC POTASICO 50MG X 20TAB CALOX,DICLOFENAC POT 50MG X 20 TAB (CALOX),T,DICLOFENAC POTASICO,20000064,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,CALOX,,7591519008562,,GABAPENTINA 300MG X 20TAB CALOX,GABAPENTINA 300MG X 20 CAP (CALOX),T,GABAPENTINA,14601002,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,CALOX,,7591519009330,,FLAVOXATO 200MG X 10TAB CALOX,FLAVOXATO 200MG X 10 TAB (CALOX),T,FLAVOXATO,19101004,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,CALOX,,7591519007688,,FEXOFENADINA 120MG X 10TAB CALOX,FEXOFENADINA 120MG X10 TAB REC(CALOX),T,FEXOFENADINA,22301004,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,CALOX,,7591519051643,,ENALAPRIL 20MG X 30TAB CALOX,ENALAPRIL 20MG X 30 TAB (CALOX),T,ENALAPRIL,49914022,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,CALOX,,7591519317534,,ESCITALOPRAM 10MG X 28TAB CALOX,ESCITALOPRAM 10MG X 28 TAB (CALOX),T,ESCITALOPRAM,,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,CALOX,,7591519317275,,ETORICOXIB 60MG X 10TAB CALOX,ETORICOXIB 60MG X 10TAB (CALOX),T,ETORICOXIB,,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,CALOX,,7591519317268,,ETORICOXIB 90MG X 10TAB CALOX,ETORICOXIB 90MG X 10TAB REC (CALOX),T,ETORICOXIB,,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,PSICOTROPICOS Y CONTROLADOS,,,MCK,,7591519317565,,GARDENAL 100MG X 30 TABLETAS MCK,GARDENAL 100MG X 30 COMP (MCK),T,FENOBARBITAL,,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,MMQ,,,PLUSMEDIC,,759746709958,,JERINGA DESECHABLE NARAJA 1ML 30G X 5/16 CAJA X 100 UNI PLUSMEDIC,JERINGA DESECHABLE 1ML 30GX5/16 CAJX100,T,JERINGA,,"PLUSMEDIC, C.A"
MEDICAMENTOS,MMQ,,,BRIXMEDIC,,9800000000025,,GASA ESTERIL 4PX4P SOBRE X 2UNID BRIXMEDIC,GASA ESTERIL 4PX4P SOBREX2UNID BRIXMEDIC,T,GASA,,"JORVAN, C.A"
MEDICAMENTOS,TABLETAS,,,GENFAR,,7705959500344,,CARBIDOPA LEVODOPA 25MG/250MG X 30TAB GENFAR,CARBIDOPA LEVODOPA 25-250MGX30TAB GENFAR,T,CARBIDOPA + LEVODOPA,,"CASA DE REPRESENTACION ROIPHARMA, C.A"
MEDICAMENTOS,SUSPENSION,,,NOVARTIS,,7702635710592,,TEGRETOL 2% SUSPENSION X 100ML NOVARTIS,TEGRETOL 2% SUSPENSION X 100ML NOVARTIS,T,CARBAMAZEPINA,,"CASA DE REPRESENTACION ROIPHARMA, C.A"
MEDICAMENTOS,CUIDADO PERSONAL,,,NATURISSIMA,,7591241846609,,SAX (AC BORICO) DUCHA VAGINAL X 135ML NATURISSIMA,SAX SOLUCION VAGINAL (NATURISSIMA),T,ACIDO BORICO,,"BIOTECH LABORATORIOS, C.A"
MEDICAMENTOS,TABLETAS,,,DEVA,,8699525162564,,DEGASTROL 30MG X 14TAB DEVA,DEGASTROL 30MG X 14TAB DEVA,T,LANSOPRAZOL,,"LABORATORIOS POLITECNICOS NACIONALES, C.A (POLINAC)"
MEDICAMENTOS,TABLETAS,,,DEVA,,8699525162571,,DEGASTROL 30MG X 28TAB DEVA,DEGASTROL 30MG X 28TAB DEVA,T,LANSOPRAZOL,,"LABORATORIOS POLITECNICOS NACIONALES, C.A (POLINAC)"
MEDICAMENTOS,MMQ,,,BRIUTCARE,,742033994733,,CURITAS ADHESIVAS TRANSPARENTES 5.6CMX1.9CM X 20UND BRIUTCARE,CURITAS ADHESIVAS BRIUTCARE TRANSPAR 20U,T,CURITAS,,"BRIUTCARE INVERSIONES M.R.C.S.21, C.A"
MEDICAMENTOS,MMQ,,,BRIUTCARE,,742033994726,,CURITAS ADHESIVAS FLEXIBLES 7.6CMX1.9CM X 20UND BRIUTCARE,CURITAS ADHESIVAS BRIUTCARE FLEX 20U,T,CURITAS,,"BRIUTCARE INVERSIONES M.R.C.S.21, C.A"
MEDICAMENTOS,OVULOS,,,TIARES,,8904187830677,,CLOTRIMAZOL 500MG X 1 OVULO VAGINAL+APLICADOR TIARES,CLOTRIMAZOL OVULO 500MG X1(TIARES),T,CLOTRIMAZOL,,"COMERCIALIZADORA TIARES, C.A"
MEDICAMENTOS,TABLETAS,,,GDG PHARMA,,7598307000661,,LORATADINA 10MG X 10TAB GDG PHARMA,LORATADINA 10MG X 10TAB GDG PHARMA,T,LORATADINA,,"GENIA CARE PHARMACEUTICAL, S.A"
MEDICAMENTOS,TABLETAS,,,GDG PHARMA,,7598307000685,,VALSARTAN 160MG X 10TAB GDG PHARMA,VALSARTAN 160MG X 10TAB GDG PHARMA,T,VALSARTAN,,"GENIA CARE PHARMACEUTICAL, S.A"
MEDICAMENTOS,MMQ,,,PLUSMEDIC,,7597467000498,,BURETA CALIBRADA 100ML ( X 1 UNIDAD) PLUSMEDIC,BURETA CALIBRADA 100ML PLUSMEDIC,T,BURETA,,"PLUSMEDIC, C.A"
MEDICAMENTOS,TABLETAS,,,SAAD,,7603153024798,,VITAMINA E U.I 400 X 10CAPS SAAD,VITAMINA E U.I 400 X 10CAPS SAAD,T,VITAMINA E,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,730170649272,,DESLORATADINA 5MG X 10TAB KMPLUS,DESLORATADINA 5MG X 10TAB KMPLUS,T,DESLORATADINA,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,730170649142,,AMIODARONA 200MG X 10TAB KMPLUS,AMIODARONA 200MG X 10TAB KMPLUS,T,AMIODARONA,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,730170649456,,RIVAROXABAN 10MG X 14TAB KMPLUS,RIVAROXABAN 10MG X 14TAB KMPLUS,T,RIVAROXABAN,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,730170649463,,RIVAROXABAN 20MG X 14TAB KMPLUS,RIVAROXABAN 20MG X 14TAB KMPLUS,T,RIVAROXABAN,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6942189211294,,FLUCONAZOL 150MG X 2TAB  KMPLUS,FLUCONAZOL 150MG X 2TAB  KMPLUS,T,FLUCONAZOL,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,CREMAS,,,KMPLUS,,6942189530272,,BETAMETASONA-CLOTRIMAZOL-GENTAMICINA CREMA 0.05%-1%-0.1% X 30GR  KMPLUS,BETAMETASONA-CLOTRIMAZOL-GENTAMICINA,T,BLECOMETASONA+NEOMICINA+CLOTRIMAZOL,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,JARABES,,,SIEGFRIED,,7592601100928,,CETRAL SOL ORAL 5MG/5ML X 60ML SIEGFRIED,CETRAL 5MG/ML SOLUCION 60 ML (SIEGFRIED),T,CETIRIZINA,,LABORATORIOS SIEGFRIED S.A
MEDICAMENTOS,TABLETAS,,,SALUDX,,7894164009657,,SIMETICONA 125MG X 10 TAB SALUDX,SIMETICONA 125MG X 10CAP  (SALUDX),T,SIMETICONA,,"CASA DE REPRESENTACIONES RJR, C.A"
MEDICAMENTOS,MMQ,,,VINCENTI,,7592782000901,,ALCOHOL SPRAY 70% X 60ML VINCENTI,ALCOHOL SPRAY. 60 ML (VICENTI),T,ALCOHOL ANTISEPTICO,,"LABORATORIOS VINCENTI, C.A."
MEDICAMENTOS,SUSPENSION,,,VINCENTI,,7592782000055,,BEVINDAZOL SUSP 400MG/10ML X 10ML VINCENTI,BEVINDAZOL SUSP400MG/ML 10 ML(VINCENTI),T,ALBENDAZOL,,"LABORATORIOS VINCENTI, C.A."
MEDICAMENTOS,JARABES,,,VINCENTI,,7592782000895,,SINUTIL JBE 325MG-32MG-4MG/15ML X 90ML VINCENTI,SINUTIL JBE 325-32-4M/15MLX90ML VINCENTI,T,ACETAMINOFEN+CAFEINA+CLORFENIRAMINA,,"LABORATORIOS VINCENTI, C.A."
MEDICAMENTOS,TABLETAS,,,VINCENTI,,7592782001854,,FLATVIN 125MG X 10CAPS BLANDAS VINCENTI,FLATVIN 125MG X10 CAPS. BLAND (VINCENTI),T,SIMETICONA,,"LABORATORIOS VINCENTI, C.A."
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,VINCENTI,,7599513000049,,CEFTAZIDIMA 1GR VITAL IM/IV AMPOLLA VINCENTI,CEFTAZIDIMA 1GR VITAL IM/IV AMP VINCENTI,T,CEFTAZIDIMA,,"LABORATORIOS VINCENTI, C.A."
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,VINCENTI,,7599513000070,,PENTOXIFILINA 20MG/ML I.V AMPOLLA VINCENTI,PENTOXIFILINA 20MG/ML I.V AMP VINCENTI,T,PENTOXIFILINA,,"VINCENTI INTERNACIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,MEGALABS,,7591619520780,,DIAFORMINA 1000MG X 30TAB MEGALABS,DIAFORMINA 1000 MG X 30 COMP (MEGALABS),T,METFORMINA,,"MEGALABS VZL, C.A."
MEDICAMENTOS,TABLETAS,,,MEGALABS,,7591619520742,,DIAFORMINA COMPUESTA 850MG/2MG X 30TAB MEGALABS,DIAFORMINA COMP 850MG/2MGX30TAB MEGALABS,T,METFORMINA,,"MEGALABS VZL, C.A."
MEDICAMENTOS,ONCOLOGICOS,,,FELIRNI,,7730925510324,,MITOXANTRONA 20MG/10ML SOLUCION INYECTABLE (REFRIGERADO) FELIRNI,MITOXANTRONA 20MG/10ML SOL INY FELIRNI,T,MITOXANTRONA ,,"LABORATORIOS FELIRNI, C.A"
MEDICAMENTOS,ONCOLOGICOS,,,FELIRNI,,9800000000500,,VINORELBINA 10MG/ML SOLUCION INYECTABLE (REFRIGERADO) FELIRNI,VINORELBINA 10MG/ML SOL INY FELIRNI,T,VINORELBINA,,"LABORATORIOS FELIRNI, C.A"
MEDICAMENTOS,JARABES,,,VALMORCA,,7591020009775,,ESQUIDONE SOLUCION ORAL 1MG/ML X 20ML VALMORCA,ESQUIDONE SOL ORAL 1MG/MLX20ML VALMORCA,T,RISPERIDONA,,"LABORATORIOS VALMOR, C.A"
MEDICAMENTOS,TABLETAS,,,OFTALMI,,7591196006462,,APIRET 500MG X 10 TABLETAS OFTALMI,APIRET 500MG X 10TAB (OFTALMI),T,ACETAMINOFEN,,"LABORATORIOS L.O. OFTALMI, C.A."
MEDICAMENTOS,TABLETAS,,,CLEO,,7598677000209,,VENLAFAXINA 75MG X 30TAB CLEO,VENLAFAXINA 75MG X 30TAB CLEO,T,VENLAFAXINA,PT3301,"CORPORACION CLEOPHARMA, C.A"
MEDICAMENTOS,TABLETAS,,,VALMORCA,,7591020009584,,CANDER 32MG X 15 TABLETAS VALMORCA,CANDER 32MG X 15 TABLETAS VALMORCA,T,CANDESARTAN,PT3302,"LABORATORIOS VALMOR, C.A"
MEDICAMENTOS,TABLETAS,,,ELMOR,,7591062011637,,TRITTICO 50MG X 30TAB ELMOR,TRITTICO 50MG X 30 TAB (ELMOR),T,TRAZODONE,PT3209,"LABORATORIOS ELMOR, C.A"
MEDICAMENTOS,TABLETAS,,,GENCER,,7591020080453,,ATORVASTATINA 20MG X 20 TABLETAS GENCER,ATORVASTATINA 20MG x 20 TAB (GENCER),T,ATORVASTATINA,PT3309,"LABORATORIOS VALMOR, C.A"
MEDICAMENTOS,TABLETAS,,,COFASA S.A.,,7597189000288,,GLUCOTRIN X 60 CAPSULAS PHARMATECH,GLUCOTRIN X 60 CAPSULAS PHARMATECH,T,GLUCOSAMINA KCL -COLAGENO TIPO II - ACIDO HIALURONICO- MAGNESIO,PT3307,GRUPO PHARMATECH C.A.
MEDICAMENTOS,TABLETAS,,,ELMOR,,7591062011811,,KLAS 100MG X 20TAB ELMOR,KLAS 100MG X20 CAP (ELMOR),T,ACEBROFILINA,PT3306,"LABORATORIOS ELMOR, C.A"
MEDICAMENTOS,JARABES,,,VARGAS,,7592349002324,,PREDNA 15MG/5ML SOLUCIÓN ORAL 60ML VARGAS,PREDNA 15MG/5ML SOL 60ML (LAB.VARGAS),T,PREDNISOLONA,PT3353,"LABORATORIOS VARGAS, S.A"
MEDICAMENTOS,TABLETAS,,,COFASA S.A.,,7591818000403,,COFATIC X 30 CAPSULAS COFASA,COFATIC X 30 CAP (COFASA),T,"GLUCOSAMINA, COLAGENO, ACIDO HIALURONICO Y MAGNESIO",PT2201,"LABORATORIO COFASA, S.A."
MEDICAMENTOS,TABLETAS,,,VIVAX,,7592432007427,,MELOVAX 15MG X 10 CAPSULAS BLANDAS VIVAX,MELOVAX 15MG X 10 CAP BLAND (VIVAX),T,MELOXICAM,PT3307,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,ZUOZ PHARMA,,7591651002176,,SACUTAN 50MG X 30 COMPRIMIDOS ZUOZ,SACUTAN 50MG X 30TAB(ZOUZ),T,VALSARTAN CON SACUBITRILO,PT3311,"ZUOZ PHARMA,S.A"
MEDICAMENTOS,TABLETAS,,,CAPLIN POINT,,9800000000195,,METFORMINA CLORHIDRATO 1000MG X 10TAB CAPLIN POINT,METFORMINA CLORHIDRATO 1000MGX10TAB ,T,METFORMINA,PT3103,"DROGUERIA DROTACA, C.A                                                                              "
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,LAB ALFA,,7468999187684,,CIPROFLOXACINA 200MG/100ML SOLUCION INYECTABLE 100ML ALFA,CIPROALFA 200MG AMP 100ML (ALFA),T,CIPROFLOXACINA,PT3363,"PHARMASTERIL, C.A (EL MORRO CASA DE REPRESENTACION)"
MEDICAMENTOS,TABLETAS,,,CAPLIN POINT,,9800000000196,,LORNOXICAM 8MG X 10TAB CAPLIN POINT,LORNOXICAM 8MG X 10TAB CAPLIN POINT,T,LORNOXICAM,PT3317,"DROGUERIA DROTACA, C.A                                                                              "
MEDICAMENTOS,TABLETAS,,,VARGAS,,7592349002294,,BIPROLIL HCT 2.5MG + 6.25MG X 30 COMPRIMIDOS VARGAS,BIPROLIL HCT 2.5/6.25MG X 30TAB (VARGAS),T,FUMARATO DE BISOPROLOL,PT3311,"LABORATORIOS VARGAS, S.A"
MEDICAMENTOS,TABLETAS,,,SIEGFRIED,,7707355052960,,PROLASTAT 0.5MG X 4TAB SIEGFRIED,"PROLASTAT 0,5MG X 4 TAB (SIEGFRIED)",T,CABERGOLINA,PT3311,LABORATORIOS SIEGFRIED S.A
MEDICAMENTOS,TABLETAS,,,DROTAFARMA,,6916119062041,,CIPROFLOXACINA 500MG X 10TABLETAS DROTAFARMA,CIPROFLOXACINA 500MGX10 TAB(DROTAFARMA) ,T,CIPROFLOXACINA,PT3112,"DROGUERIA DROTACA, C.A                                                                              "
MEDICAMENTOS,TABLETAS,,,CAPLIN POINT,,18901790699049,,GLIBENCLAMIDA 5MG X 10TAB CAPLIN POINT,GLIBENCLAMIDA 5MG X 10 TAB. (CAPLIN),T,GLIBENCLAMIDA,PT3712,"DROGUERIA DROTACA, C.A                                                                              "
MEDICAMENTOS,TABLETAS,,,SAGA,,8902297007545,,AMLODIPINA 5MG X 10TAB SAGA,AMLODIPINA 5MG X 10TAB SAGA,T,AMLODIPINA,PT3413,"DROGUERIA DROTACA, C.A                                                                              "
MEDICAMENTOS,TABLETAS,,,MEGALABS,,7591955000977,,LEPTAZINE 10MG X 24 TABLETAS ROWE,LEPTAZINE 10MG X 24 COMP (KLINOS),T,TRIFLUOPERAZINA,PT3203,"MEGALABS VZL, C.A."
MEDICAMENTOS,TABLETAS,,,MEGALABS,,7591619000626,,ROWELUK 10MG X 10 COMPRIMIDOS MEGALABS,ROWELUK 10MG X 10 COMP MASTICABLE(ROWE),T,MONTELUKAST,PT3202,"MEGALABS VZL, C.A."
MEDICAMENTOS,OVULOS,,,ALESS PHARMACEUTICALS,,7597758000640,,MICONAZOL OVULOS 400MG X 3UND ALESS,MICONAZOL OVULOS 400MG X 3UND ALESS,T,MICONAZOL,PT1407,"ALESS PHARMACEUTICALS, C.A"
MEDICAMENTOS,TABLETAS,,,MEGALABS,,7591619517223,,ROWELUK 10MG X 30 COMPRIMIDOS MEGALABS,ROWELUK 10MG X30 COMP (ROWE),T,MONTELUKAST,PT2106,"MEGALABS VZL, C.A."
MEDICAMENTOS,GOTAS,,,COFASA S.A.,,7591818716779,,COFADOR 2% SOL OFTALMICA X 5ML COFASA,COFADOR SOL OFTALMICA 5ML (COFASA),T,DORZOLAMIDA,PT2104,"LABORATORIO COFASA, S.A."
MEDICAMENTOS,JARABES,,,ARCO IRIS,,7592946012719,,FRAILEJON COMPUESTO JBE X 120ML ARCO IRIS,FRAILEJON COMPUESTO JBEX120ML ARCO IRIS,T,FRAILEJON,11101002,"ARCO IRIS LABORATORIO, C.A."
MEDICAMENTOS,TABLETAS,,,MEGALABS,,7591619517278,,ROWELUK 5MG X 30 COMPRIMIDOS MASTICABLES ROWE,ROWELUK 5MG X 30 COMP. MASTICABLE (ROWE),T,MONTELUKAST,6601003,"MEGALABS VZL, C.A."
MEDICAMENTOS,CUIDADO PERSONAL,,,PONCE & BENZO,,7591309000219,,DIOXOGEN ROLL-ON BICARBONATO X 90G PONCE & BENZO,DESOD. DIOXOGEN BICARBONATO 90GR,T,DESODORANTE,18701018,"PONCE & BENZO SUCR., C.A"
MEDICAMENTOS,SUSPENSION,,,MEGALABS,,7795345010977,,AMOXIDUO POLVO P/SUSP PED 750MG/5ML X 70ML MEGALABS,AMOXIDUO 750MG SUSP X 70ML (MEGALABS),T,AMOXICILINA,6601005,"MEGALABS VZL, C.A."
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,HUMAN BIOSCIENCE,,8904307701061,,KORTWELL 40MG/ML (ACETONIDA DE TRIAMCINOLONA) X 1 AMP HUMANBIOSCIENCE,KORTWELL 40MG/MLX1 AMP HUMANBIOSCIENCE,T,TRIAMCINOLONA ACETONIDA,44012002,"CASA DE REPRESENTACION FARMACEUTICA HB HUMAN BIOSCIENCE, C.A."
MEDICAMENTOS,TABLETAS,,,MEGALABS,,7460536571994,,SESAREN XR 150MG X 15 CAPSULAS MEGALABS,SESAREN XR 150MG X 15 CAPSULAS MEGALABS,T,VENLAFAXINA,502016,"MEGALABS VZL, C.A."
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,BIOSANO,,7800061025102,,AMIODARONA 150MG/3ML X 1 AMP BIOSANO,AMIODARONA 150MG/3ML X 1 AMP BIOSANO,T,AMIODARONA,19101001,"PHARMASTERIL, C.A (EL MORRO CASA DE REPRESENTACION)"
MEDICAMENTOS,TABLETAS,,,MEGALABS,,7460536572007,,SESAREN XR 75MG X 15 CAPSULAS MEGALABS,SESAREN XR 75MG X 15 CAPSULAS MEGALABS,T,VENLAFAXINA,19101003,"MEGALABS VZL, C.A."
MEDICAMENTOS,GOTAS,,,MEGALABS,,7795380043190,,TRINARIA 50MCG SPRAY NASAL X 120 DOSIS MEGALABS,TRINARIA 50MCG/120 DOSIS 15ML (MEGALABS),T,,19101002,"MEGALABS VZL, C.A."
MEDICAMENTOS,CUIDADO PERSONAL,,,PONCE & BENZO,,7591309902674,,GEL ANTIBACTERIAL CON VIT E X 230ML DIOXOGEN,GEL ANTIBACT DIOXOGEN  REFRESCANTE 230ML,T,GEL ANTIBACTERIAL,18701007,"PONCE & BENZO SUCR., C.A"
MEDICAMENTOS,CUIDADO PERSONAL,,,PONCE & BENZO,,7591309002152,,GEL ANTIBACTERIAL CON VIT E X 120ML DIOXOGEN,GEL ANTIBACT DIOXOGEN  MICROCAPS 120ML,T,GEL ANTIBACTERIAL,23801003,"PONCE & BENZO SUCR., C.A"
MEDICAMENTOS,CREMAS,,,PONCE & BENZO,,7591309002183,,OVERSKIN CREMA ANTIPAÑALITIS 13% X 50G PONCE & BENZO,OVERSKIN 13% CREMA 50 GR ( PONCE&BENZO),T,OXIDO DE ZINC,2101005,"PONCE & BENZO SUCR., C.A"
MEDICAMENTOS,MMQ,,,PONCE & BENZO,,7591309900762,,DIOXOGEN SOLUCION ANTISEPTICA 115ML,SOLUCION ANTISEP. DIOXOGEN 115ML,T,SOLUCION ANTISEPTICA,18701006,"PONCE & BENZO SUCR., C.A"
MEDICAMENTOS,CUIDADO PERSONAL,,,PONCE & BENZO,,7591309900779,,SOLUCION ANTISEPTICA X 230ML DIOXOGEN,SOLUCION ANTISEPTICA X 230ML DIOXOGEN,T,SOLUCION ANTISEPTICA,2101011,"PONCE & BENZO SUCR., C.A"
MEDICAMENTOS,GOTAS,,,OFTALMI,,7591196000583,,DOBET 2% SOL. OFTALMICA 5ML OFTALMI,"DOBET 2%-0,5% SOL. OFTALMICA 5 ML (L.O)",T,DORZOLAMINA + TIMOLOL,12801012,"LABORATORIOS L.O. OFTALMI, C.A."
MEDICAMENTOS,TABLETAS,,,SIEGFRIED,,7592601301486,,ACIDO FOLICO 10MG X 30TAB MEYER,ACIDO FOLICO 10MG X 30 TAB (MEYER),T,ACIDO FOLICO,1003001,LABORATORIOS SIEGFRIED S.A
MEDICAMENTOS,TABLETAS,,,MEGALABS,,7591619514024,,VITAMINA B12 500 MCG X 20 CAPSULAS KLINOS,VITAMINA B12 500MCG X 20CAPS (KLINOS),T,VITAMINA B12,1001001,"MEGALABS VZL, C.A."
MEDICAMENTOS,TABLETAS,,,SIEGFRIED,,7592601000310,,BUTAL 8MG X 10 TABLETAS SIGFRIED,BUTAL 8MG X 10 TABLETAS SIGFRIED,T,BETAHISTINA,801003,LABORATORIOS SIEGFRIED S.A
MEDICAMENTOS,JARABES,,,ZAKIMED,,8904324104234,,ZAKIRUL (RANITIDINA) 150MG/10ML 120ML ZAKIMED,ZAKIRUL 150MG/10ML 120ML ZAKIMED,T,RANITIDINA,11302001,"ZAKI GROUP LLC, C.A."
MEDICAMENTOS,GOTAS,,,GENCER,,7591020004985,,ACIDO FOLICO GOTAS PEDIAT 10MG/ML X 15ML GENCER,ACIDO FOLICO 10MG/ML GOTAS 15ML (GENCER),T,ACIDO FOLICO,7001002,"LABORATORIOS VALMOR, C.A"
MEDICAMENTOS,SUSPENSION,,,PLUSANDEX,,7594001100294,,ALBENDAZOL SUSP 400MG/10ML X 10ML PLUSANDEX,ALBENDAZOL 400MG /ML SUSP. 10ML (PLUSA),T,ALBENDAZOL,,"LABORATORIOS PLUSANDEX, C.A"
MEDICAMENTOS,TABLETAS,,,PLUSANDEX,,7594001101956,,DEXTAMIN (DESLORATADINA) 5MG X 10TAB PLUSANDEX,DEXTAMIN 5MG X 10 TAB (PLUSANDEX),T,DESLORATADINA,,"LABORATORIOS PLUSANDEX, C.A"
MEDICAMENTOS,MMQ,,,"GAVENTEX DE VENEZUELA, C.A",,7595127000055,,VENDA ELASTICA HOSP. (COMPRESION FUERTE) 10CM X 1M GAVENTEX,VENDA ELASTICA HOSP. 10CMX1M GAVENTEX,T,VENDA,,"GAVENTEX DE VENEZUELA, C.A"
MEDICAMENTOS,MMQ,,,"GAVENTEX DE VENEZUELA, C.A",,7595127000079,,VENDA ELASTICA HOSP. (COMPRESION FUERTE) 15CM X 1M GAVENTEX,VENDA ELASTICA HOSP. 15CMX1M GAVENTEX,T,VENDA,13001007,"GAVENTEX DE VENEZUELA, C.A"
MEDICAMENTOS,MMQ,,,"GAVENTEX DE VENEZUELA, C.A",,7595127000086,,VENDA ELASTICA HOSP. (COMPRESION FUERTE) 20CM X 1M GAVENTEX,VENDA ELASTICA HOSP. 20CMX1M GAVENTEX,T,VENDA,13001002,"GAVENTEX DE VENEZUELA, C.A"
MEDICAMENTOS,SUPOSITORIOS ,,,TIARES,,18906051722719,,LONAC-50 SUPOSITORIOS X 10UND (DICLOFENAC SODICO) TIARES,LONAC-50 50MG X10 SUPOSITORIOS (TIARES),T,DICLOFENAC SODICO,13001001,"COMERCIALIZADORA TIARES, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,TIARES,,196852644438,,DEPOFEM ANTICONCEPTIVO INYECTABLE 150MG/1ML X 1AMP TIARES,DEPOFEM 150MG SOL INY X 1 (TIARES),T,MEDROXIPROGESTERONA,13101001,"COMERCIALIZADORA TIARES, C.A"
MEDICAMENTOS,JARABES,,,BIOFARCO,,7591616002326,,LIMONADA LAXANTE (CITRATO DE MAGNESIO) X 240ML BIOFARCO,LIMONADA LAXANTEX240ML BIOFARCO,T,CITRATO DE MAGNESIO,21201013,"LABORATORIOS INNOVA-TEK, C.A"
